,possible_activation_function_of_first_layer,possible_activation_function_of_exit_layer,possible_lose_verify_function,possible_optimizator_type,possible_metric
442,tanh,sigmoid,mean_squared_error,adagrad,mean_squared_error
443,tanh,sigmoid,mean_squared_error,adagrad,mean_absolute_error
444,tanh,sigmoid,binary_crossentropy,sgd,accuracy
445,tanh,sigmoid,binary_crossentropy,sgd,mean_squared_error
446,tanh,sigmoid,binary_crossentropy,sgd,mean_absolute_error
447,tanh,sigmoid,binary_crossentropy,adam,accuracy
448,tanh,sigmoid,binary_crossentropy,adam,mean_squared_error
449,tanh,sigmoid,binary_crossentropy,adam,mean_absolute_error
450,tanh,sigmoid,binary_crossentropy,rmsprop,accuracy
451,tanh,sigmoid,binary_crossentropy,rmsprop,mean_squared_error
452,tanh,sigmoid,binary_crossentropy,rmsprop,mean_absolute_error
453,tanh,sigmoid,binary_crossentropy,adagrad,accuracy
454,tanh,sigmoid,binary_crossentropy,adagrad,mean_squared_error
455,tanh,sigmoid,binary_crossentropy,adagrad,mean_absolute_error
456,tanh,sigmoid,categorical_crossentropy,sgd,accuracy
457,tanh,sigmoid,categorical_crossentropy,sgd,mean_squared_error
458,tanh,sigmoid,categorical_crossentropy,sgd,mean_absolute_error
459,tanh,sigmoid,categorical_crossentropy,adam,accuracy
460,tanh,sigmoid,categorical_crossentropy,adam,mean_squared_error
461,tanh,sigmoid,categorical_crossentropy,adam,mean_absolute_error
462,tanh,sigmoid,categorical_crossentropy,rmsprop,accuracy
463,tanh,sigmoid,categorical_crossentropy,rmsprop,mean_squared_error
464,tanh,sigmoid,categorical_crossentropy,rmsprop,mean_absolute_error
465,tanh,sigmoid,categorical_crossentropy,adagrad,accuracy
466,tanh,sigmoid,categorical_crossentropy,adagrad,mean_squared_error
467,tanh,sigmoid,categorical_crossentropy,adagrad,mean_absolute_error
468,tanh,sigmoid,mean_absolute_error,sgd,accuracy
469,tanh,sigmoid,mean_absolute_error,sgd,mean_squared_error
470,tanh,sigmoid,mean_absolute_error,sgd,mean_absolute_error
471,tanh,sigmoid,mean_absolute_error,adam,accuracy
472,tanh,sigmoid,mean_absolute_error,adam,mean_squared_error
473,tanh,sigmoid,mean_absolute_error,adam,mean_absolute_error
474,tanh,sigmoid,mean_absolute_error,rmsprop,accuracy
475,tanh,sigmoid,mean_absolute_error,rmsprop,mean_squared_error
476,tanh,sigmoid,mean_absolute_error,rmsprop,mean_absolute_error
477,tanh,sigmoid,mean_absolute_error,adagrad,accuracy
478,tanh,sigmoid,mean_absolute_error,adagrad,mean_squared_error
479,tanh,sigmoid,mean_absolute_error,adagrad,mean_absolute_error
480,tanh,tanh,mean_squared_error,sgd,accuracy
481,tanh,tanh,mean_squared_error,sgd,mean_squared_error
482,tanh,tanh,mean_squared_error,sgd,mean_absolute_error
483,tanh,tanh,mean_squared_error,adam,accuracy
484,tanh,tanh,mean_squared_error,adam,mean_squared_error
485,tanh,tanh,mean_squared_error,adam,mean_absolute_error
486,tanh,tanh,mean_squared_error,rmsprop,accuracy
487,tanh,tanh,mean_squared_error,rmsprop,mean_squared_error
488,tanh,tanh,mean_squared_error,rmsprop,mean_absolute_error
489,tanh,tanh,mean_squared_error,adagrad,accuracy
490,tanh,tanh,mean_squared_error,adagrad,mean_squared_error
491,tanh,tanh,mean_squared_error,adagrad,mean_absolute_error
492,tanh,tanh,binary_crossentropy,sgd,accuracy
493,tanh,tanh,binary_crossentropy,sgd,mean_squared_error
494,tanh,tanh,binary_crossentropy,sgd,mean_absolute_error
495,tanh,tanh,binary_crossentropy,adam,accuracy
496,tanh,tanh,binary_crossentropy,adam,mean_squared_error
497,tanh,tanh,binary_crossentropy,adam,mean_absolute_error
498,tanh,tanh,binary_crossentropy,rmsprop,accuracy
499,tanh,tanh,binary_crossentropy,rmsprop,mean_squared_error
500,tanh,tanh,binary_crossentropy,rmsprop,mean_absolute_error
501,tanh,tanh,binary_crossentropy,adagrad,accuracy
502,tanh,tanh,binary_crossentropy,adagrad,mean_squared_error
503,tanh,tanh,binary_crossentropy,adagrad,mean_absolute_error
504,tanh,tanh,categorical_crossentropy,sgd,accuracy
505,tanh,tanh,categorical_crossentropy,sgd,mean_squared_error
506,tanh,tanh,categorical_crossentropy,sgd,mean_absolute_error
507,tanh,tanh,categorical_crossentropy,adam,accuracy
508,tanh,tanh,categorical_crossentropy,adam,mean_squared_error
509,tanh,tanh,categorical_crossentropy,adam,mean_absolute_error
510,tanh,tanh,categorical_crossentropy,rmsprop,accuracy
511,tanh,tanh,categorical_crossentropy,rmsprop,mean_squared_error
512,tanh,tanh,categorical_crossentropy,rmsprop,mean_absolute_error
513,tanh,tanh,categorical_crossentropy,adagrad,accuracy
514,tanh,tanh,categorical_crossentropy,adagrad,mean_squared_error
515,tanh,tanh,categorical_crossentropy,adagrad,mean_absolute_error
516,tanh,tanh,mean_absolute_error,sgd,accuracy
517,tanh,tanh,mean_absolute_error,sgd,mean_squared_error
518,tanh,tanh,mean_absolute_error,sgd,mean_absolute_error
519,tanh,tanh,mean_absolute_error,adam,accuracy
520,tanh,tanh,mean_absolute_error,adam,mean_squared_error
521,tanh,tanh,mean_absolute_error,adam,mean_absolute_error
522,tanh,tanh,mean_absolute_error,rmsprop,accuracy
523,tanh,tanh,mean_absolute_error,rmsprop,mean_squared_error
524,tanh,tanh,mean_absolute_error,rmsprop,mean_absolute_error
525,tanh,tanh,mean_absolute_error,adagrad,accuracy
526,tanh,tanh,mean_absolute_error,adagrad,mean_squared_error
527,tanh,tanh,mean_absolute_error,adagrad,mean_absolute_error
528,tanh,softmax,mean_squared_error,sgd,accuracy
529,tanh,softmax,mean_squared_error,sgd,mean_squared_error
530,tanh,softmax,mean_squared_error,sgd,mean_absolute_error
531,tanh,softmax,mean_squared_error,adam,accuracy
532,tanh,softmax,mean_squared_error,adam,mean_squared_error
533,tanh,softmax,mean_squared_error,adam,mean_absolute_error
534,tanh,softmax,mean_squared_error,rmsprop,accuracy
535,tanh,softmax,mean_squared_error,rmsprop,mean_squared_error
536,tanh,softmax,mean_squared_error,rmsprop,mean_absolute_error
537,tanh,softmax,mean_squared_error,adagrad,accuracy
538,tanh,softmax,mean_squared_error,adagrad,mean_squared_error
539,tanh,softmax,mean_squared_error,adagrad,mean_absolute_error
540,tanh,softmax,binary_crossentropy,sgd,accuracy
541,tanh,softmax,binary_crossentropy,sgd,mean_squared_error
542,tanh,softmax,binary_crossentropy,sgd,mean_absolute_error
543,tanh,softmax,binary_crossentropy,adam,accuracy
544,tanh,softmax,binary_crossentropy,adam,mean_squared_error
545,tanh,softmax,binary_crossentropy,adam,mean_absolute_error
546,tanh,softmax,binary_crossentropy,rmsprop,accuracy
547,tanh,softmax,binary_crossentropy,rmsprop,mean_squared_error
548,tanh,softmax,binary_crossentropy,rmsprop,mean_absolute_error
549,tanh,softmax,binary_crossentropy,adagrad,accuracy
550,tanh,softmax,binary_crossentropy,adagrad,mean_squared_error
551,tanh,softmax,binary_crossentropy,adagrad,mean_absolute_error
552,tanh,softmax,categorical_crossentropy,sgd,accuracy
553,tanh,softmax,categorical_crossentropy,sgd,mean_squared_error
554,tanh,softmax,categorical_crossentropy,sgd,mean_absolute_error
555,tanh,softmax,categorical_crossentropy,adam,accuracy
556,tanh,softmax,categorical_crossentropy,adam,mean_squared_error
557,tanh,softmax,categorical_crossentropy,adam,mean_absolute_error
558,tanh,softmax,categorical_crossentropy,rmsprop,accuracy
559,tanh,softmax,categorical_crossentropy,rmsprop,mean_squared_error
560,tanh,softmax,categorical_crossentropy,rmsprop,mean_absolute_error
561,tanh,softmax,categorical_crossentropy,adagrad,accuracy
562,tanh,softmax,categorical_crossentropy,adagrad,mean_squared_error
563,tanh,softmax,categorical_crossentropy,adagrad,mean_absolute_error
564,tanh,softmax,mean_absolute_error,sgd,accuracy
565,tanh,softmax,mean_absolute_error,sgd,mean_squared_error
566,tanh,softmax,mean_absolute_error,sgd,mean_absolute_error
567,tanh,softmax,mean_absolute_error,adam,accuracy
568,tanh,softmax,mean_absolute_error,adam,mean_squared_error
569,tanh,softmax,mean_absolute_error,adam,mean_absolute_error
570,tanh,softmax,mean_absolute_error,rmsprop,accuracy
571,tanh,softmax,mean_absolute_error,rmsprop,mean_squared_error
572,tanh,softmax,mean_absolute_error,rmsprop,mean_absolute_error
573,tanh,softmax,mean_absolute_error,adagrad,accuracy
574,tanh,softmax,mean_absolute_error,adagrad,mean_squared_error
575,tanh,softmax,mean_absolute_error,adagrad,mean_absolute_error
576,softmax,relu,mean_squared_error,sgd,accuracy
577,softmax,relu,mean_squared_error,sgd,mean_squared_error
578,softmax,relu,mean_squared_error,sgd,mean_absolute_error
579,softmax,relu,mean_squared_error,adam,accuracy
580,softmax,relu,mean_squared_error,adam,mean_squared_error
581,softmax,relu,mean_squared_error,adam,mean_absolute_error
582,softmax,relu,mean_squared_error,rmsprop,accuracy
583,softmax,relu,mean_squared_error,rmsprop,mean_squared_error
584,softmax,relu,mean_squared_error,rmsprop,mean_absolute_error
585,softmax,relu,mean_squared_error,adagrad,accuracy
586,softmax,relu,mean_squared_error,adagrad,mean_squared_error
587,softmax,relu,mean_squared_error,adagrad,mean_absolute_error
588,softmax,relu,binary_crossentropy,sgd,accuracy
589,softmax,relu,binary_crossentropy,sgd,mean_squared_error
590,softmax,relu,binary_crossentropy,sgd,mean_absolute_error
591,softmax,relu,binary_crossentropy,adam,accuracy
592,softmax,relu,binary_crossentropy,adam,mean_squared_error
593,softmax,relu,binary_crossentropy,adam,mean_absolute_error
594,softmax,relu,binary_crossentropy,rmsprop,accuracy
595,softmax,relu,binary_crossentropy,rmsprop,mean_squared_error
596,softmax,relu,binary_crossentropy,rmsprop,mean_absolute_error
597,softmax,relu,binary_crossentropy,adagrad,accuracy
598,softmax,relu,binary_crossentropy,adagrad,mean_squared_error
599,softmax,relu,binary_crossentropy,adagrad,mean_absolute_error
600,softmax,relu,categorical_crossentropy,sgd,accuracy
601,softmax,relu,categorical_crossentropy,sgd,mean_squared_error
602,softmax,relu,categorical_crossentropy,sgd,mean_absolute_error
603,softmax,relu,categorical_crossentropy,adam,accuracy
604,softmax,relu,categorical_crossentropy,adam,mean_squared_error
605,softmax,relu,categorical_crossentropy,adam,mean_absolute_error
606,softmax,relu,categorical_crossentropy,rmsprop,accuracy
607,softmax,relu,categorical_crossentropy,rmsprop,mean_squared_error
608,softmax,relu,categorical_crossentropy,rmsprop,mean_absolute_error
609,softmax,relu,categorical_crossentropy,adagrad,accuracy
610,softmax,relu,categorical_crossentropy,adagrad,mean_squared_error
611,softmax,relu,categorical_crossentropy,adagrad,mean_absolute_error
612,softmax,relu,mean_absolute_error,sgd,accuracy
613,softmax,relu,mean_absolute_error,sgd,mean_squared_error
614,softmax,relu,mean_absolute_error,sgd,mean_absolute_error
615,softmax,relu,mean_absolute_error,adam,accuracy
616,softmax,relu,mean_absolute_error,adam,mean_squared_error
617,softmax,relu,mean_absolute_error,adam,mean_absolute_error
618,softmax,relu,mean_absolute_error,rmsprop,accuracy
619,softmax,relu,mean_absolute_error,rmsprop,mean_squared_error
620,softmax,relu,mean_absolute_error,rmsprop,mean_absolute_error
621,softmax,relu,mean_absolute_error,adagrad,accuracy
622,softmax,relu,mean_absolute_error,adagrad,mean_squared_error
623,softmax,relu,mean_absolute_error,adagrad,mean_absolute_error
624,softmax,sigmoid,mean_squared_error,sgd,accuracy
625,softmax,sigmoid,mean_squared_error,sgd,mean_squared_error
626,softmax,sigmoid,mean_squared_error,sgd,mean_absolute_error
627,softmax,sigmoid,mean_squared_error,adam,accuracy
628,softmax,sigmoid,mean_squared_error,adam,mean_squared_error
629,softmax,sigmoid,mean_squared_error,adam,mean_absolute_error
630,softmax,sigmoid,mean_squared_error,rmsprop,accuracy
631,softmax,sigmoid,mean_squared_error,rmsprop,mean_squared_error
632,softmax,sigmoid,mean_squared_error,rmsprop,mean_absolute_error
633,softmax,sigmoid,mean_squared_error,adagrad,accuracy
634,softmax,sigmoid,mean_squared_error,adagrad,mean_squared_error
635,softmax,sigmoid,mean_squared_error,adagrad,mean_absolute_error
636,softmax,sigmoid,binary_crossentropy,sgd,accuracy
637,softmax,sigmoid,binary_crossentropy,sgd,mean_squared_error
638,softmax,sigmoid,binary_crossentropy,sgd,mean_absolute_error
639,softmax,sigmoid,binary_crossentropy,adam,accuracy
640,softmax,sigmoid,binary_crossentropy,adam,mean_squared_error
641,softmax,sigmoid,binary_crossentropy,adam,mean_absolute_error
642,softmax,sigmoid,binary_crossentropy,rmsprop,accuracy
643,softmax,sigmoid,binary_crossentropy,rmsprop,mean_squared_error
644,softmax,sigmoid,binary_crossentropy,rmsprop,mean_absolute_error
645,softmax,sigmoid,binary_crossentropy,adagrad,accuracy
646,softmax,sigmoid,binary_crossentropy,adagrad,mean_squared_error
647,softmax,sigmoid,binary_crossentropy,adagrad,mean_absolute_error
648,softmax,sigmoid,categorical_crossentropy,sgd,accuracy
649,softmax,sigmoid,categorical_crossentropy,sgd,mean_squared_error
650,softmax,sigmoid,categorical_crossentropy,sgd,mean_absolute_error
651,softmax,sigmoid,categorical_crossentropy,adam,accuracy
652,softmax,sigmoid,categorical_crossentropy,adam,mean_squared_error
653,softmax,sigmoid,categorical_crossentropy,adam,mean_absolute_error
654,softmax,sigmoid,categorical_crossentropy,rmsprop,accuracy
655,softmax,sigmoid,categorical_crossentropy,rmsprop,mean_squared_error
656,softmax,sigmoid,categorical_crossentropy,rmsprop,mean_absolute_error
657,softmax,sigmoid,categorical_crossentropy,adagrad,accuracy
658,softmax,sigmoid,categorical_crossentropy,adagrad,mean_squared_error
659,softmax,sigmoid,categorical_crossentropy,adagrad,mean_absolute_error
660,softmax,sigmoid,mean_absolute_error,sgd,accuracy
661,softmax,sigmoid,mean_absolute_error,sgd,mean_squared_error
662,softmax,sigmoid,mean_absolute_error,sgd,mean_absolute_error
663,softmax,sigmoid,mean_absolute_error,adam,accuracy
664,softmax,sigmoid,mean_absolute_error,adam,mean_squared_error
665,softmax,sigmoid,mean_absolute_error,adam,mean_absolute_error
666,softmax,sigmoid,mean_absolute_error,rmsprop,accuracy
667,softmax,sigmoid,mean_absolute_error,rmsprop,mean_squared_error
668,softmax,sigmoid,mean_absolute_error,rmsprop,mean_absolute_error
669,softmax,sigmoid,mean_absolute_error,adagrad,accuracy
670,softmax,sigmoid,mean_absolute_error,adagrad,mean_squared_error
671,softmax,sigmoid,mean_absolute_error,adagrad,mean_absolute_error
672,softmax,tanh,mean_squared_error,sgd,accuracy
673,softmax,tanh,mean_squared_error,sgd,mean_squared_error
674,softmax,tanh,mean_squared_error,sgd,mean_absolute_error
675,softmax,tanh,mean_squared_error,adam,accuracy
676,softmax,tanh,mean_squared_error,adam,mean_squared_error
677,softmax,tanh,mean_squared_error,adam,mean_absolute_error
678,softmax,tanh,mean_squared_error,rmsprop,accuracy
679,softmax,tanh,mean_squared_error,rmsprop,mean_squared_error
680,softmax,tanh,mean_squared_error,rmsprop,mean_absolute_error
681,softmax,tanh,mean_squared_error,adagrad,accuracy
682,softmax,tanh,mean_squared_error,adagrad,mean_squared_error
683,softmax,tanh,mean_squared_error,adagrad,mean_absolute_error
684,softmax,tanh,binary_crossentropy,sgd,accuracy
685,softmax,tanh,binary_crossentropy,sgd,mean_squared_error
686,softmax,tanh,binary_crossentropy,sgd,mean_absolute_error
687,softmax,tanh,binary_crossentropy,adam,accuracy
688,softmax,tanh,binary_crossentropy,adam,mean_squared_error
689,softmax,tanh,binary_crossentropy,adam,mean_absolute_error
690,softmax,tanh,binary_crossentropy,rmsprop,accuracy
691,softmax,tanh,binary_crossentropy,rmsprop,mean_squared_error
692,softmax,tanh,binary_crossentropy,rmsprop,mean_absolute_error
693,softmax,tanh,binary_crossentropy,adagrad,accuracy
694,softmax,tanh,binary_crossentropy,adagrad,mean_squared_error
695,softmax,tanh,binary_crossentropy,adagrad,mean_absolute_error
696,softmax,tanh,categorical_crossentropy,sgd,accuracy
697,softmax,tanh,categorical_crossentropy,sgd,mean_squared_error
698,softmax,tanh,categorical_crossentropy,sgd,mean_absolute_error
699,softmax,tanh,categorical_crossentropy,adam,accuracy
700,softmax,tanh,categorical_crossentropy,adam,mean_squared_error
701,softmax,tanh,categorical_crossentropy,adam,mean_absolute_error
702,softmax,tanh,categorical_crossentropy,rmsprop,accuracy
703,softmax,tanh,categorical_crossentropy,rmsprop,mean_squared_error
704,softmax,tanh,categorical_crossentropy,rmsprop,mean_absolute_error
705,softmax,tanh,categorical_crossentropy,adagrad,accuracy
706,softmax,tanh,categorical_crossentropy,adagrad,mean_squared_error
707,softmax,tanh,categorical_crossentropy,adagrad,mean_absolute_error
708,softmax,tanh,mean_absolute_error,sgd,accuracy
709,softmax,tanh,mean_absolute_error,sgd,mean_squared_error
710,softmax,tanh,mean_absolute_error,sgd,mean_absolute_error
711,softmax,tanh,mean_absolute_error,adam,accuracy
712,softmax,tanh,mean_absolute_error,adam,mean_squared_error
713,softmax,tanh,mean_absolute_error,adam,mean_absolute_error
714,softmax,tanh,mean_absolute_error,rmsprop,accuracy
715,softmax,tanh,mean_absolute_error,rmsprop,mean_squared_error
716,softmax,tanh,mean_absolute_error,rmsprop,mean_absolute_error
717,softmax,tanh,mean_absolute_error,adagrad,accuracy
718,softmax,tanh,mean_absolute_error,adagrad,mean_squared_error
719,softmax,tanh,mean_absolute_error,adagrad,mean_absolute_error
720,softmax,softmax,mean_squared_error,sgd,accuracy
721,softmax,softmax,mean_squared_error,sgd,mean_squared_error
722,softmax,softmax,mean_squared_error,sgd,mean_absolute_error
723,softmax,softmax,mean_squared_error,adam,accuracy
724,softmax,softmax,mean_squared_error,adam,mean_squared_error
725,softmax,softmax,mean_squared_error,adam,mean_absolute_error
726,softmax,softmax,mean_squared_error,rmsprop,accuracy
727,softmax,softmax,mean_squared_error,rmsprop,mean_squared_error
728,softmax,softmax,mean_squared_error,rmsprop,mean_absolute_error
729,softmax,softmax,mean_squared_error,adagrad,accuracy
730,softmax,softmax,mean_squared_error,adagrad,mean_squared_error
731,softmax,softmax,mean_squared_error,adagrad,mean_absolute_error
732,softmax,softmax,binary_crossentropy,sgd,accuracy
733,softmax,softmax,binary_crossentropy,sgd,mean_squared_error
734,softmax,softmax,binary_crossentropy,sgd,mean_absolute_error
735,softmax,softmax,binary_crossentropy,adam,accuracy
736,softmax,softmax,binary_crossentropy,adam,mean_squared_error
737,softmax,softmax,binary_crossentropy,adam,mean_absolute_error
738,softmax,softmax,binary_crossentropy,rmsprop,accuracy
739,softmax,softmax,binary_crossentropy,rmsprop,mean_squared_error
740,softmax,softmax,binary_crossentropy,rmsprop,mean_absolute_error
741,softmax,softmax,binary_crossentropy,adagrad,accuracy
742,softmax,softmax,binary_crossentropy,adagrad,mean_squared_error
743,softmax,softmax,binary_crossentropy,adagrad,mean_absolute_error
744,softmax,softmax,categorical_crossentropy,sgd,accuracy
745,softmax,softmax,categorical_crossentropy,sgd,mean_squared_error
746,softmax,softmax,categorical_crossentropy,sgd,mean_absolute_error
747,softmax,softmax,categorical_crossentropy,adam,accuracy
748,softmax,softmax,categorical_crossentropy,adam,mean_squared_error
749,softmax,softmax,categorical_crossentropy,adam,mean_absolute_error
750,softmax,softmax,categorical_crossentropy,rmsprop,accuracy
751,softmax,softmax,categorical_crossentropy,rmsprop,mean_squared_error
752,softmax,softmax,categorical_crossentropy,rmsprop,mean_absolute_error
753,softmax,softmax,categorical_crossentropy,adagrad,accuracy
754,softmax,softmax,categorical_crossentropy,adagrad,mean_squared_error
755,softmax,softmax,categorical_crossentropy,adagrad,mean_absolute_error
756,softmax,softmax,mean_absolute_error,sgd,accuracy
757,softmax,softmax,mean_absolute_error,sgd,mean_squared_error
758,softmax,softmax,mean_absolute_error,sgd,mean_absolute_error
759,softmax,softmax,mean_absolute_error,adam,accuracy
760,softmax,softmax,mean_absolute_error,adam,mean_squared_error
761,softmax,softmax,mean_absolute_error,adam,mean_absolute_error
762,softmax,softmax,mean_absolute_error,rmsprop,accuracy
763,softmax,softmax,mean_absolute_error,rmsprop,mean_squared_error
764,softmax,softmax,mean_absolute_error,rmsprop,mean_absolute_error
765,softmax,softmax,mean_absolute_error,adagrad,accuracy
766,softmax,softmax,mean_absolute_error,adagrad,mean_squared_error
767,softmax,softmax,mean_absolute_error,adagrad,mean_absolute_error
